"siteid","sitename","area","notes","description","elev"
3301,"Lac Mouton",NA,NA,NA,2158
3305,"Mutorog Peat Bog",NA,NA,NA,1616
3310,"Nick of Curleywee",NA,NA,NA,400
3330,"Ospitale",NA,NA,NA,1240
3337,"Lago Padule",NA,NA,NA,1186
3339,"Puy de Paillaret",NA,NA,NA,1575
3344,"Pelléautier",NA,NA,NA,864
3345,"Lac de Perle",NA,NA,NA,2101
3352,"Picherande",NA,NA,NA,1703
3355,"Plan du Lac",NA,NA,NA,2194
3357,"Popovo Ezero",NA,NA,NA,2234
3367,"Quartzevoe",NA,NA,NA,2119
3368,"Quintanar de la Sierra",NA,NA,NA,1474
3372,"Råttuvarri",NA,NA,NA,121
3373,"Saint Julien de Ratz",NA,NA,NA,669
3374,"Grand Ratz le Pellet",NA,NA,NA,697
3376,"Regetovka",NA,NA,NA,519
3379,"Ribnoe",NA,NA,NA,2158
3394,"Sabion",NA,NA,NA,2260
3395,"Les Saisies",NA,NA,NA,1562
3397,"Saldropo",NA,NA,NA,603
3402,"Serni",NA,NA,NA,2187
3409,"Sibista",NA,NA,NA,1882
3410,"Lac de Siguret",NA,NA,NA,1056
3415,"Saint Sixte",NA,NA,NA,721
3416,"Lac Saint Léger",NA,NA,NA,1323
3424,"Moselotte",NA,NA,NA,1234
3425,"Lochan an Smuraich",NA,NA,NA,29
3429,"Sögüt Gölü",NA,NA,NA,1580
3443,"Strath Oykell",NA,NA,NA,174
3450,"Suho ezero II",NA,NA,NA,1906
3456,"Szymbark",NA,NA,NA,382
3459,"Loch Tarff",NA,NA,NA,285
3466,"Tschokljovo Marsh",NA,NA,NA,1248
3473,"Puerto de Los Tornos",NA,NA,NA,818
3482,"Grosses Überling Schattseit-Moor",NA,NA,NA,1750
3522,"Zirbenwaldmoor",NA,NA,NA,2162
3527,"Plateau de Prarion",NA,NA,NA,1851
3528,"Col du Pré",NA,NA,NA,1728
8578,"Hachiman-Numa",NA,NA,NA,1442
9591,"Kelly's Lough",NA,NA,NA,570
9606,"Iwaya site",NA,NA,NA,14
9638,"Liffey Head Bog",NA,NA,NA,423
9644,"Ballygisheen Bog",NA,NA,NA,150
9698,"Lough Camclaun",NA,NA,NA,217
9699,"Reenadinna Wood",NA,NA,NA,27
9700,"Quebrada La Higuera Upper Middens",NA,NA,NA,3444
9707,"Quebrada La Higuera Lower Middens",NA,NA,NA,3164
9798,"Dog Lake",NA,NA,NA,1174
9811,"Derrycunihy Wood",NA,NA,NA,126
9814,"Alpine Pond",NA,NA,NA,3203
9816,"Lough Aisling",NA,NA,NA,13
9817,"Lough Anaffrin",NA,NA,NA,172
9819,"Lough Corslieve",NA,NA,NA,297
9830,"Lowder Creek Bog",NA,NA,NA,3151
9836,"Pedrido",NA,NA,NA,271
9838,"Uragh Wood",NA,NA,NA,135
9865,"Lake Kirkpatrick",NA,NA,NA,563
9868,"Dukes Tarn",NA,NA,NA,828
9877,"Tianchi Lake",NA,NA,NA,2435
9889,"Blackwoods Hollow",NA,NA,NA,28
9942,"Yahoo Lake",NA,NA,NA,716
9945,"Siesta Lake",NA,NA,NA,2424
9947,"Burnt Knob Lake",NA,NA,NA,2235
9974,"Baker Lake",NA,NA,NA,2394
9985,"Hoodoo Lake",NA,NA,NA,1763
9988,"Brass Tarn",NA,NA,NA,3939
9989,"Pintler Lake",NA,NA,NA,1922
9992,"Ogac Lake",NA,NA,NA,5
9994,"Moose Lake",NA,NA,NA,1542
9995,"Martins Lake",NA,NA,NA,1422
9996,"Ijomba",NA,NA,NA,3634
9998,"Efstadalsvatn",NA,NA,NA,119
9999,"Dye Lower Water Lake (Dyer Lake)",NA,NA,NA,327
10004,"Eagle Tarn",NA,NA,NA,1049
10005,"Adamsons Peak",NA,NA,NA,943
10006,"Komanimambuno Mire",NA,NA,NA,2735
10024,"Rotten Swamp",NA,NA,NA,1442
10027,"Lac Suprin",NA,NA,NA,233
10047,"Granta Pools",NA,NA,NA,674
10049,"Laguna del Cóndor",NA,NA,NA,819
10053,"Mumbo Lake",NA,NA,NA,1861
10060,"Lago Huala Hué",NA,NA,NA,838
10061,"Lake Emma",NA,NA,NA,3736
10063,"Laguna Padre Laguna",NA,NA,NA,878
10105,"Laguna Pompal",NA,NA,NA,740
10107,"Lost Park",NA,NA,NA,3080
10123,"Eagle Lake",NA,NA,NA,1814
10130,"Laguna de Pacucha",NA,NA,NA,3090
10131,"Laguna El Junco",NA,NA,NA,656
10145,"Cassiope Pond",NA,NA,NA,530
10150,"Winton Bay Lake",NA,NA,NA,8
10151,"Tiny Lake",NA,NA,NA,-3
10153,"Pyrola Lake",NA,NA,NA,508
10158,"Devlins Park",NA,NA,NA,2952
10170,"Brother-of-Fog Lake",NA,NA,NA,346
10171,"Berendon Fen",NA,NA,NA,776
10174,"Mahoney Lake",NA,NA,NA,468
10178,"Bear Meadows Bog",NA,NA,NA,553
10183,"Skinny Lake",NA,NA,NA,920
10186,"Balsam Lake",NA,NA,NA,759
10190,"South Lake",NA,NA,NA,649
10191,"Stewart Bog",NA,NA,NA,3112
10192,"Spillway Pond",NA,NA,NA,844
10194,"Laguna de Chochos",NA,NA,NA,3205
10204,"Flycatcher Basin",NA,NA,NA,903
10206,"Fog Lake",NA,NA,NA,411
10213,"Nichols Meadow",NA,NA,NA,1523
10216,"Rasberry Bog",NA,NA,NA,795
10217,"Richter Marsh",NA,NA,NA,431
10218,"Pyramid Lake",NA,NA,NA,1439
10220,"Twin Lake",NA,NA,NA,788
10243,"Hual Cu Cuish Meadow",NA,NA,NA,1438
10248,"Little Green Valley Meadow",NA,NA,NA,2225
10249,"Makika Crater",NA,NA,NA,427
10274,"Chalmer's Bog (PL-78-37)",NA,NA,NA,1467
10277,"Van Wyck",NA,NA,NA,2051
10282,"Skunk Cabbage Meadow",NA,NA,NA,2422
10284,"Taquitz Meadow",NA,NA,NA,2406
10297,"Hosoike Moor",NA,NA,NA,561
10302,"Arrepentimientos",NA,NA,NA,2434
10309,"Bluff Lake",NA,NA,NA,1926
10310,"Ikenokochi Moor",NA,NA,NA,297
10314,"Yamakado Moor",NA,NA,NA,249
10315,"Kurikigahara",NA,NA,NA,1264
10318,"Makura Moor",NA,NA,NA,677
10319,"Buckbean Bog",NA,NA,NA,1806
10322,"Oregon Jack Creek (#1)",NA,NA,NA,1415
10323,"Oregon Jack Creek",NA,NA,NA,1415
10324,"Ohnuma Moor",NA,NA,NA,648
10325,"Bunker Lake",NA,NA,NA,1995
10327,"Orochigahara",NA,NA,NA,1151
10332,"Catlow Rim",NA,NA,NA,1583
10335,"Ubuka Basin",NA,NA,NA,389
10336,"Uryu-Numa Moor",NA,NA,NA,835
10338,"Yabitsuyachi",NA,NA,NA,1053
10340,"Crater Lake",NA,NA,NA,2086
10341,"Dead Horse Lake",NA,NA,NA,2248
10343,"Donard Lake",NA,NA,NA,421
10344,"Yachidaira Moor",NA,NA,NA,1500
10349,"Grassy Lake",NA,NA,NA,1923
10355,"Lake Jake",NA,NA,NA,243
10361,"Lily Lake",NA,NA,NA,2044
10363,"Lilypad Lake",NA,NA,NA,1986
