"siteid","sitename","area","notes","description","elev"
14062,"Valle de la Bocatoma XI",NA,NA,NA,3995
14063,"Valle de la Bocatoma IX",NA,NA,NA,4112
14064,"Valle de la Bocatoma X",NA,NA,NA,4272
14079,"Laguna La Primavera",NA,NA,NA,3541
14082,"Páramo de Peña Negra 1",NA,NA,NA,3562
14086,"Páramo de Laguna Verde",NA,NA,NA,3635
14101,"Páramo de Agua Blanca",NA,NA,NA,3076
14144,"Rosarito",NA,NA,NA,3431
14148,"Rosarito Grande",NA,NA,NA,3306
14154,"Llano Grande Mire",NA,NA,NA,3430
14267,"Didachara",NA,NA,NA,1995
14273,"Hůrecká slať",NA,NA,NA,865
14282,"Černohorské rašeliniště",NA,NA,NA,1181
14286,"Popradské pleso",NA,NA,NA,1496
14287,"The Bowl",NA,NA,NA,123
14289,"Štrbské pleso",NA,NA,NA,1345
14290,"Hawley Bog",NA,NA,NA,542
14293,"Upper Susitna River Valley",NA,NA,NA,835
14294,"Chitina",NA,NA,NA,165
14299,"Ahtell Creek",NA,NA,NA,1270
14308,"Doolittle Ranch Meadow",NA,NA,NA,2975
14310,"Echo Lake",NA,NA,NA,3231
14314,"Breitenbush Lake",NA,NA,NA,1695
14459,"Cucú cueva",NA,NA,NA,1607
14468,"Zlatnická Dolina",NA,NA,NA,1208
14473,"Lai Nair Schuls-Tarasp",NA,NA,NA,1537
14474,"Rifugio Mondovi",NA,NA,NA,1758
14476,"Jančík",NA,NA,NA,787
14479,"Peña Parda",NA,NA,NA,966
14480,"Torbiera del Biecai",NA,NA,NA,1968
14481,"Kubriková",NA,NA,NA,713
14482,"Las Pardillas Lake",NA,NA,NA,1859
14484,"Pico del Sertal",NA,NA,NA,922
14485,"Laghi dell'Orgials",NA,NA,NA,2398
14489,"Hängstli",NA,NA,NA,1248
14491,"Montes do Buio Cuadramón",NA,NA,NA,740
14495,"Rotmoos-Eriz",NA,NA,NA,1186
14498,"Loch Cleat",NA,NA,NA,144
14499,"Loch Clair",NA,NA,NA,38
14501,"Labradillos mire",NA,NA,NA,1451
14503,"Velký Máj",NA,NA,NA,1369
14504,"Schöpfenwaldmoor",NA,NA,NA,1446
14507,"Cinuskel",NA,NA,NA,1618
14509,"Macun Val Zeznina ob Zernez",NA,NA,NA,2635
14512,"Lanzahíta",NA,NA,NA,603
14513,"Lac de Villa",NA,NA,NA,821
14514,"Il Fuorn",NA,NA,NA,1796
14515,"Juf Plan",NA,NA,NA,2212
14517,"San Esteban del valle",NA,NA,NA,1819
14520,"Loch Einich",NA,NA,NA,829
14521,"Umbrail",NA,NA,NA,2486
14524,"Plešné jezero",NA,NA,NA,1096
14528,"Palü Lunga ob Ramosch",NA,NA,NA,1899
14530,"Peat-bog Begbunar",NA,NA,NA,1563
14532,"Fersina",NA,NA,NA,190
14533,"Gamperfin",NA,NA,NA,1312
14535,"Fiavè",NA,NA,NA,645
14536,"Lago di Ganna",NA,NA,NA,442
14537,"Lake Lugano",NA,NA,NA,318
14538,"Alpi di Robièi Val Bavona Bodenprofil",NA,NA,NA,1935
14539,"Lago delle Fate",NA,NA,NA,2245
14540,"Alpi di Robièi Val Bavona",NA,NA,NA,1928
14542,"Breitnau-Neuhof",NA,NA,NA,1005
14543,"Grünsee Reschenscheideck",NA,NA,NA,1830
14544,"Gondo Alpjen",NA,NA,NA,1685
14545,"Simplon/Gampisch-Alter Spittel",NA,NA,NA,1869
14546,"Lac du Verney",NA,NA,NA,2096
14548,"Lago Pratignano",NA,NA,NA,1314
14549,"Les Palanques",NA,NA,NA,450
14550,"Alp Lüsga Belalp 1",NA,NA,NA,1668
14551,"Lac du Verney-Dessus",NA,NA,NA,2274
14552,"Mohos",NA,NA,NA,1052
14560,"Preluca Tiganului",NA,NA,NA,871
14562,"Mont Carré Hérémence",NA,NA,NA,2297
14569,"Pillon Gsteig-Diablerets",NA,NA,NA,1686
14581,"Lac de Bretaye",NA,NA,NA,1775
14583,"Leysin Les Léchières",NA,NA,NA,1263
14585,"Lac d'Aï",NA,NA,NA,1884
14586,"Schwarzsee",NA,NA,NA,1035
14587,"Saanenmöser",NA,NA,NA,1277
14588,"Süfternen-Grönegg",NA,NA,NA,1423
14589,"Untere Bunschleren Boltigen",NA,NA,NA,1682
14590,"Obergestelen Zweisimmen",NA,NA,NA,1815
14592,"Pian di Verra superiore",NA,NA,NA,2602
14593,"Torveraz",NA,NA,NA,2406
14594,"Lac de Lod",NA,NA,NA,1455
14595,"Tourbière de Loditor",NA,NA,NA,1462
14596,"Tourbière de Santa Anna",NA,NA,NA,2527
14597,"Tourbière Lo Cret",NA,NA,NA,3690
14598,"Tourbière de Pilaz",NA,NA,NA,1733
14599,"Lac de Champlong",NA,NA,NA,2352
14600,"Tourbière de Champlong",NA,NA,NA,2314
14603,"Kumata",NA,NA,NA,1759
14604,"Steregoiu",NA,NA,NA,937
14605,"Semenic",NA,NA,NA,1399
14610,"Bondone",NA,NA,NA,1557
14611,"Brockenkuppe",NA,NA,NA,1011
14612,"Trepalle Livigno",NA,NA,NA,2016
14616,"Märchenwald",NA,NA,NA,774
14621,"Seelohe",NA,NA,NA,760
14635,"Tlstá hora",NA,NA,NA,463
14638,"Sägistalsee",NA,NA,NA,1947
14648,"Feld Alp Holzmatten",NA,NA,NA,2154
14649,"Bachalpsee",NA,NA,NA,2267
14650,"Hagelseeli",NA,NA,NA,2383
14652,"Hinterburgseeli",NA,NA,NA,1525
14659,"Lake Sedmo Rilsko",NA,NA,NA,2099
14672,"Mire Gyola",NA,NA,NA,683
14673,"Tchumina peat bog",NA,NA,NA,1121
15678,"Lake Blatisto",NA,NA,NA,1518
15682,"Wolfslohe",NA,NA,NA,823
15685,"Trogenmoos",NA,NA,NA,1473
15686,"Oberaar",NA,NA,NA,2387
15689,"Rinderplatz",NA,NA,NA,1768
15690,"Dura-Moor",NA,NA,NA,2058
15691,"Schwarzsee",NA,NA,NA,2036
15693,"Malschötscher Hotter",NA,NA,NA,2055
15696,"Ledrosee",NA,NA,NA,645
15698,"Dossaccio Bormio",NA,NA,NA,1692
15700,"Jelení louže",NA,NA,NA,430
15701,"Sommersüss",NA,NA,NA,880
15702,"Lago Grande di Avigliana",NA,NA,NA,370
15705,"Královec",NA,NA,NA,582
15706,"Horní Lomná",NA,NA,NA,617
15710,"Velký Děd",NA,NA,NA,1395
15713,"Kunštátská kaple",NA,NA,NA,1025
15715,"Kugelstattmoos",NA,NA,NA,863
15723,"Hynčice",NA,NA,NA,450
15724,"Heřmánkovice",NA,NA,NA,520
15727,"Broumovské stěny",NA,NA,NA,683
15730,"Rýchory",NA,NA,NA,953
15731,"Stříbrná bystřina",NA,NA,NA,1403
15732,"Úpské rašeliniště",NA,NA,NA,1420
15736,"Abant Gölü",NA,NA,NA,1385
15743,"Monte San Giorgio",NA,NA,NA,962
15745,"Labský důl",NA,NA,NA,1028
15747,"Süftenenegg",NA,NA,NA,1545
15748,"Hopschensee",NA,NA,NA,2027
15749,"Mittlere Hellelen",NA,NA,NA,1525
15750,"Dar Fatma",NA,NA,NA,774
15751,"Beni M'tir",NA,NA,NA,628
15752,"Beni M'tir",NA,NA,NA,628
15753,"Schwarzsee VS",NA,NA,NA,2567
15754,"Riffelsee",NA,NA,NA,2765
15755,"Grindjisee",NA,NA,NA,2341
15756,"Kef Eddbaâ",NA,NA,NA,985
15757,"Djebel El Ghorra",NA,NA,NA,1163
15758,"Ouinet Ennessours",NA,NA,NA,1135
15759,"Abiare",NA,NA,NA,186
15761,"Majen El Orbi",NA,NA,NA,211
15762,"Majen El Orbi",NA,NA,NA,132
15763,"Pančavská louka",NA,NA,NA,1326
15783,"Creux de Croue",NA,NA,NA,1352
15803,"Chutti Boltigen",NA,NA,NA,972
15804,"Kakitu Mountain",NA,NA,NA,4706
15805,"Greicheralp Riederalp",NA,NA,NA,1935
15806,"Aletschwald",NA,NA,NA,2013
15807,"Eggen ob Blatten",NA,NA,NA,1656
15808,"Bodmen Alp Bel",NA,NA,NA,1961
15809,"Grächen See",NA,NA,NA,1723
15810,"Bitsch-Naters",NA,NA,NA,1074
15811,"Majen Ben H'mida",NA,NA,NA,247
15812,"Elatia-Rhodopes",NA,NA,NA,1527
15813,"Lailias",NA,NA,NA,1590
15821,"Beles Mountains",NA,NA,NA,1413
15822,"Mount Paiko",NA,NA,NA,1029
15823,"Mount Voras",NA,NA,NA,1556
15824,"Flambouro-Pieria mountains",NA,NA,NA,1728
15825,"Lake Racou",NA,NA,NA,2002
15830,"Pertouli",NA,NA,NA,1362
15834,"Plateau d'Ovace",NA,NA,NA,1237
15835,"Prat-de-Bouc",NA,NA,NA,1380
15846,"Asi Gonia",NA,NA,NA,769
15848,"Pozzine des bergeries de Vaccaja",NA,NA,NA,1570
15850,"Pailherols",NA,NA,NA,1023
15851,"Limagne",NA,NA,NA,1071
15856,"Plagnes",NA,NA,NA,1254
15858,"Faltre",NA,NA,NA,1191
15868,"Graspet",NA,NA,NA,1261
15872,"Pontajou",NA,NA,NA,1353
15874,"Etang de Cheylade",NA,NA,NA,1072
15877,"Chazeloux",NA,NA,NA,892
15879,"Lac du Saillant",NA,NA,NA,1250
15880,"Les Laubies",NA,NA,NA,1315
15881,"Lozeret",NA,NA,NA,1401
15882,"Les Camargues",NA,NA,NA,1329
15883,"Sources du Tarn",NA,NA,NA,1539
15884,"Finiels",NA,NA,NA,1466
15887,"La Salverguette",NA,NA,NA,1053
15888,"La Planésie",NA,NA,NA,973
15889,"Font Salesse",NA,NA,NA,1047
15890,"Baïssescure",NA,NA,NA,959
15891,"Neyrac",NA,NA,NA,1251
15892,"Le Cros",NA,NA,NA,1337
15893,"Tourbière du Peschio",NA,NA,NA,1386
15894,"Tourbière des Narses Mortes",NA,NA,NA,1228
15895,"Lastioulles",NA,NA,NA,759
15896,"Le Jolan",NA,NA,NA,1239
16120,"Port des Lamberts",NA,NA,NA,704
16130,"Duingt",NA,NA,NA,448
16139,"Tourbière de Narbief",NA,NA,NA,921
16142,"Lac de Chaillexon",NA,NA,NA,746
16143,"Lac Cerin",NA,NA,NA,755
16146,"Tourbières des Granges des Chavants",NA,NA,NA,1232
16147,"Lake of Sewen",NA,NA,NA,488
16149,"Marinet",NA,NA,NA,2546
16165,"Caune de l'Arago",NA,NA,NA,235
16166,"Fangeas",NA,NA,NA,1984
16168,"Lac des Boites",NA,NA,NA,1573
16176,"Tourbière d'Arinthod",NA,NA,NA,420
16179,"Tourbière Saint-Etienne de Tinet",NA,NA,NA,2172
16187,"Bernasso",NA,NA,NA,493
16189,"Nogaret maar",NA,NA,NA,656
16260,"Le Teppier",NA,NA,NA,2126
16262,"Sous-Solaret",NA,NA,NA,1591
16263,"col du Petit Saint Bernard",NA,NA,NA,2156
16267,"Peyre peat-bog",NA,NA,NA,1096
16277,"Tourbière de Roussy",NA,NA,NA,1073
16296,"Tourbière de Chirens",NA,NA,NA,450
16297,"Marais de Charauze",NA,NA,NA,371
16298,"Lac du Lauzon",NA,NA,NA,2004
16302,"La Grande Basse",NA,NA,NA,926
16304,"Col Luitel",NA,NA,NA,1257
16309,"Lac de Pavin",NA,NA,NA,1199
16314,"Sources de l'Yonne",NA,NA,NA,742
16320,"Le Grand Montarnu",NA,NA,NA,766
16347,"Quart du Bois",NA,NA,NA,393
16372,"Tourbière de la Peyroutarié",NA,NA,NA,1131
16373,"Tourbière des Nassettes",NA,NA,NA,1365
16374,"Tourbière de la Lande",NA,NA,NA,161
16375,"Tourbière de Gatimort",NA,NA,NA,1021
16376,"Tourbière de Mont Sec",NA,NA,NA,1121
16377,"Tourbière de Raux",NA,NA,NA,1764
16378,"Lac de Praver",NA,NA,NA,1195
16379,"Lac Miroir",NA,NA,NA,2177
16395,"Lake Vera",NA,NA,NA,559
16472,"Grünau Moor",NA,NA,NA,1853
16473,"Moor Alpenrose",NA,NA,NA,1885
16474,"Buntes Moor",NA,NA,NA,2298
16475,"Franz Senn-Hütte",NA,NA,NA,2183
16476,"Waxeckalm",NA,NA,NA,1881
16477,"Hasenmoos",NA,NA,NA,765
16478,"Giering",NA,NA,NA,822
16480,"Wasenmoos",NA,NA,NA,1201
16515,"Gerlos",NA,NA,NA,1586
16516,"Krotenweiher",NA,NA,NA,1210
16517,"Wildmoos",NA,NA,NA,1435
16518,"Pillermoos Untergurgl",NA,NA,NA,1946
16519,"Rotmoos Obergurgl",NA,NA,NA,2278
16616,"Dortmunder Hütte",NA,NA,NA,1894
16617,"Atemlöchermoos",NA,NA,NA,1815
16651,"Lutzenberg",NA,NA,NA,808
16653,"Miesberg",NA,NA,NA,661
16654,"Fuschlsee",NA,NA,NA,670
16655,"Gradenmoos",NA,NA,NA,1909
16656,"Egelsee",NA,NA,NA,546
16657,"Katzenloch",NA,NA,NA,1208
16658,"Mieminger See",NA,NA,NA,789
16659,"Seefelder See",NA,NA,NA,1171
16660,"Kirchbichl",NA,NA,NA,541
16661,"Lake Mondsee",NA,NA,NA,506
16662,"Tauernmoos",NA,NA,NA,2149
16663,"Schwarzsee Reschenscheideck",NA,NA,NA,1721
16669,"Moor am Rofenberg",NA,NA,NA,2770
16670,"Schönwies",NA,NA,NA,2254
16671,"Lanser Moor",NA,NA,NA,842
16672,"Lindenmoos",NA,NA,NA,636
16673,"Zotensenk",NA,NA,NA,554
16674,"Schwemm",NA,NA,NA,650
16675,"Lac Superieur de Fully",NA,NA,NA,2124
16742,"Le Loclat",NA,NA,NA,426
17506,"Praz Rodet",NA,NA,NA,1035
17917,"Kanas Lake",NA,NA,NA,2010
18834,"Etang de Luissel Bex",NA,NA,NA,535
18866,"Paddy's Lake",NA,NA,NA,1062
19924,"Dove Lake",NA,NA,NA,923
23402,"Lac du Mont d'Orge Sion",NA,NA,NA,647
23441,"Mont Roux",NA,NA,NA,1242
23443,"Motta Naluns",NA,NA,NA,2211
23446,"Dos le Cras",NA,NA,NA,926
23497,"Alp Lüsga Belalp 2",NA,NA,NA,2306
23516,"Seebergsee",NA,NA,NA,1830
23518,"Xirès Montana",NA,NA,NA,1462
23519,"Wallbach Lenk",NA,NA,NA,1889
23520,"Etang d'y Cor Montana",NA,NA,NA,1505
23521,"Schwendital",NA,NA,NA,1249
23625,"Guilder Pond",NA,NA,NA,622
23662,"Bambili 1",NA,NA,NA,2257
23664,"Bambili 2",NA,NA,NA,2305
23715,"Glenmire",NA,NA,NA,165
23716,"Henrys Fork (lower exposure)",NA,NA,NA,3298
23717,"Henrys Fork (upper exposure)",NA,NA,NA,3527
23758,"Cocha Caranga Forest",NA,NA,NA,2604
23759,"Estación Científica San Francisco Cerro de Consuelo",NA,NA,NA,3048
23760,"Estación Científica San Francisco T2/250",NA,NA,NA,2167
23763,"Gem Lake",NA,NA,NA,3098
23765,"Summit Lake",NA,NA,NA,3146
23770,"Seven Lakes",NA,NA,NA,3273
23771,"Gold Creek Lake",NA,NA,NA,2914
23772,"Hidden Lake",NA,NA,NA,2700
23775,"Hinman Lake",NA,NA,NA,2497
23778,"Goat Lake",NA,NA,NA,533
23803,"Round Loch of Glenhead",NA,NA,NA,291
23806,"Lake Tianchi",NA,NA,NA,2588
23816,"Tigalmamine",NA,NA,NA,1653
23817,"Ifri Oudadane",NA,NA,NA,17
23872,"Samerberg",NA,NA,NA,599
23873,"Balladrum",NA,NA,NA,391
23885,"Llyn Gwernan",NA,NA,NA,173
23896,"Lauenensee",NA,NA,NA,1376
23901,"Lago di Origlio",NA,NA,NA,418
23914,"Emines",NA,NA,NA,2296
23930,"Hermit Lake",NA,NA,NA,3450
23931,"Badda bog",NA,NA,NA,3713
23932,"BC2",NA,NA,NA,1343
23934,"Iffigsee",NA,NA,NA,2081
23937,"Danka Valley Bog",NA,NA,NA,3817
23940,"Sunset Lake",NA,NA,NA,2059
23941,"Egelsee (Menzingen)",NA,NA,NA,765
23942,"Dead Spruce Lake",NA,NA,NA,1407
23943,"Emerald Lake",NA,NA,NA,3047
23946,"Mahoma Lake",NA,NA,NA,2967
23947,"Kitandara Lake",NA,NA,NA,3964
23948,"Puerto de Casillas",NA,NA,NA,1194
23949,"Bujuku Lake",NA,NA,NA,3892
23950,"Craigrossie",NA,NA,NA,1732
23951,"Elim Swamp",NA,NA,NA,1875
23952,"Lago del Greppo",NA,NA,NA,1452
23953,"Pavullo nel Frignano",NA,NA,NA,673
23956,"Bad Urach",NA,NA,NA,480
23958,"La Molina mire",NA,NA,NA,670
23962,"Sonnenberger Moor",NA,NA,NA,783
23963,"El Pirulejo",NA,NA,NA,657
23964,"Patateros bog",NA,NA,NA,707
23968,"Valdeyernos bog",NA,NA,NA,893
23969,"El Payo",NA,NA,NA,982
23970,"Turbera de La Panera Cabras",NA,NA,NA,1639
24032,"Peña Negra",NA,NA,NA,1257
24033,"Gouillé Rion",NA,NA,NA,2362
24034,"Lago di Venere",NA,NA,NA,6
24036,"Puerto de Serranillos",NA,NA,NA,1613
24037,"PRD-4",NA,NA,NA,231
24039,"Culazón",NA,NA,NA,611
24040,"Foy Lake",NA,NA,NA,1007
24044,"Lago di Muzzano",NA,NA,NA,338
24047,"Lej da San Murezzan (Lake Saint Moritz)",NA,NA,NA,1789
24050,"Lengi Egga",NA,NA,NA,2576
24111,"Charco da Candieira",NA,NA,NA,1458
24112,"Lagoa Comprida 2",NA,NA,NA,1639
24113,"Prazo",NA,NA,NA,555
24148,"Radauer Born",NA,NA,NA,797
24175,"Lake Almalou",NA,NA,NA,2405
24181,"Bruchbergmoor",NA,NA,NA,905
24182,"Auf dem Acker",NA,NA,NA,835
24183,"Antler Pond",NA,NA,NA,3130
24187,"Whitebark Moraine Pond",NA,NA,NA,2801
24232,"Soldier Creek Meadow",NA,NA,NA,2866
24240,"Glaswaldsee",NA,NA,NA,850
24241,"Wilder See am Ruhestein",NA,NA,NA,914
24242,"Huzenbacher See",NA,NA,NA,758
24243,"West Side Pond",NA,NA,NA,468
24246,"Wildseemoor-Kaltenbronn",NA,NA,NA,906
24247,"Herrenwieser See",NA,NA,NA,820
24382,"Twin Lakes",NA,NA,NA,1143
24783,"Lej da Champfèr",NA,NA,NA,1811
25898,"Cross Canyon",NA,NA,NA,1685
25998,"Myrvatnet",NA,NA,NA,184
26011,"Afalou Bou Rhummel",NA,NA,NA,36
26021,"Pestera Lui Climente",NA,NA,NA,178
26023,"Rezina marsh",NA,NA,NA,1750
26024,"Lake Gramousti",NA,NA,NA,388
26029,"Taul Zanogutii",NA,NA,NA,1863
26031,"Owenduff",NA,NA,NA,199
26038,"Ghitu Muntii",NA,NA,NA,1460
26039,"Iaz",NA,NA,NA,341
26050,"Arroyo de Valdeconejos",NA,NA,NA,1368
26051,"Arroyo de Navalacarreta",NA,NA,NA,1221
26052,"El Maíllo mire",NA,NA,NA,1134
26053,"Xan de Llamas",NA,NA,NA,1488
26055,"Arroyo de las Cárcavas",NA,NA,NA,1285
26057,"Ogof Draenen cave",NA,NA,NA,233
26064,"Lake Lala Mare",NA,NA,NA,1802
26077,"Laptici",NA,NA,NA,1473
26078,"Comandau",NA,NA,NA,1010
26079,"Lacul cu Muschi",NA,NA,NA,795
26080,"Lacul Negru",NA,NA,NA,828
26081,"Lacul Sfânta Ana",NA,NA,NA,939
26082,"Taul Sarat",NA,NA,NA,451
26083,"Muntii Stanisoarei",NA,NA,NA,852
26085,"Tau-Baitii",NA,NA,NA,1454
26086,"Rut",NA,NA,NA,478
26088,"Bilbor",NA,NA,NA,898
26089,"Lucina",NA,NA,NA,1047
26090,"Obcina",NA,NA,NA,950
26091,"Ciocanesti-Botos",NA,NA,NA,862
26092,"Poiana Stiol",NA,NA,NA,1531
26093,"Colacel Rosu",NA,NA,NA,802
26094,"Poiana Boilor",NA,NA,NA,1380
26096,"Tau Obcioarei",NA,NA,NA,1075
26097,"Râșca",NA,NA,NA,1012
26098,"Taul Muced",NA,NA,NA,1378
26102,"Caliman Exploatre",NA,NA,NA,1815
26103,"Rachitis",NA,NA,NA,1334
26104,"Poiana Brazilor",NA,NA,NA,979
26105,"Lezerul calimani",NA,NA,NA,1542
26106,"Cica Mica",NA,NA,NA,1614
26110,"Turba Mluha",NA,NA,NA,1236
26111,"Capatana",NA,NA,NA,1194
26113,"Vlaschinescu",NA,NA,NA,878
26114,"Virful Brazilor",NA,NA,NA,979
26115,"Colibii",NA,NA,NA,918
26117,"Vuoskkujávri",NA,NA,NA,345
26118,"Vuolep Allasasjaure",NA,NA,NA,1109
26125,"Svartvatnet",NA,NA,NA,188
26126,"Tiåvatnet",NA,NA,NA,449
26127,"Råtåsj¢en",NA,NA,NA,1162
26128,"Afstj¢rna",NA,NA,NA,985
26129,"Måsåtjørnet",NA,NA,NA,818
26167,"Litlvatnet",NA,NA,NA,90
26168,"Gammelheimenvatnet",NA,NA,NA,280
26169,"Bjørnfjelltjørn",NA,NA,NA,501
26170,"Austerkjosen",NA,NA,NA,123
26173,"Mirror Lake",NA,NA,NA,3343
26211,"Kinnshaugen",NA,NA,NA,568
26212,"Øygardstjønn",NA,NA,NA,670
26213,"Lisletjønn",NA,NA,NA,511
26214,"Flotatjønn",NA,NA,NA,884
26215,"Lille Kjelavatn",NA,NA,NA,980
26216,"Holebudalen",NA,NA,NA,1140
26221,"Isbenttjønn",NA,NA,NA,781
26557,"Anthony Lake",NA,NA,NA,2175
26558,"Twin Lakes",NA,NA,NA,1261
26586,"McAbee Fossil Beds",NA,NA,NA,596
26587,"McAbee Fossil Beds",NA,NA,NA,597
26590,"McAbee Fossil Beds",NA,NA,NA,603
26591,"McAbee Fossil Beds",NA,NA,NA,597
26592,"McAbee Fossil Beds",NA,NA,NA,598
26595,"La Chonta Bog",NA,NA,NA,2292
26632,"Baldwin Lake",NA,NA,NA,2044
26633,"Falkland Site",NA,NA,NA,1366
26634,"Little Windy Hill Pond",NA,NA,NA,2980
26638,"Begbie Lake",NA,NA,NA,227
26641,"Lower Paintrock Lake",NA,NA,NA,2797
26642,"Pfafforetsee",NA,NA,NA,560
26643,"Lago del Segrino",NA,NA,NA,375
26644,"Rainbow Lake",NA,NA,NA,2962
26651,"Hummingbird Lake",NA,NA,NA,37
26662,"Deva-Deva",NA,NA,NA,2419
26663,"Kitumbako",NA,NA,NA,2397
26664,"Oblong Tarn, Mt Kenya, Kenya",NA,NA,NA,4353
26667,"RUMUIKU",NA,NA,NA,1426
26670,"Mt Shengena",NA,NA,NA,1923
26677,"Lake Tritrivakely",NA,NA,NA,1749
26678,"Beauty Lake",NA,NA,NA,2878
26736,"Haystack Mountain",NA,NA,NA,1154
26737,"Driehoek Vlei",NA,NA,NA,888
26738,"Hospital Flat Meadow",NA,NA,NA,2750
26739,"Sneeuberg Vlei",NA,NA,NA,1194
26899,"Laguna Rabadilla de Vaca",NA,NA,NA,3275
26900,"Estación Científica San Francisco Refugio",NA,NA,NA,2007
26901,"Serra do Tepequém",NA,NA,NA,617
26903,"Laguna Cocha Caranga",NA,NA,NA,2604
26905,"Fuldera-Palü Lunga",NA,NA,NA,1811
26910,"Mauntschas",NA,NA,NA,2964
26923,"Creede",NA,NA,NA,2723
26932,"Creede",NA,NA,NA,2641
26933,"Creede",NA,NA,NA,2674
26934,"Creede",NA,NA,NA,2762
26981,"Platoro",NA,NA,NA,3246
26982,"Pitch Pinnacle",NA,NA,NA,3203
26985,"Laguna Zurita",NA,NA,NA,2538
26987,"EL Tiro-Pass",NA,NA,NA,2776
26988,"Vinillos",NA,NA,NA,2056
26991,"Prášilské jezero",NA,NA,NA,1086
27012,"Gorgo Pollicino",NA,NA,NA,1285
27013,"Marcato Cixé",NA,NA,NA,1177
27014,"Gorgo Lungo",NA,NA,NA,900
27016,"Gorgo Tondo",NA,NA,NA,851
27017,"Urgo Pietra Giordano",NA,NA,NA,1334
27018,"Urio Quattrocchi",NA,NA,NA,1041
27025,"Gouillé Loéré",NA,NA,NA,2515
27026,"Palughetto",NA,NA,NA,1035
27028,"Chickaree Lake",NA,NA,NA,2837
27029,"Pearson's Pond",NA,NA,NA,376
27070,"Karakol",NA,NA,NA,2361
27071,"Lake Huila",NA,NA,NA,2590
27072,"Kichikol",NA,NA,NA,2532
27073,"Bakaly",NA,NA,NA,1881
27074,"Nizhnee",NA,NA,NA,1377
27081,"Verkhnee",NA,NA,NA,1437
27082,"Ak Terek",NA,NA,NA,1747
27083,"Ortok",NA,NA,NA,1725
27193,"Choquette Lake",NA,NA,NA,501
27205,"Wawona Meadow",NA,NA,NA,1247
27211,"Cerro Toledo",NA,NA,NA,3106
27214,"Mallin Casanova",NA,NA,NA,115
27220,"Cerro Toledo",NA,NA,NA,3106
27222,"Lac des Grenouilles",NA,NA,NA,1999
27223,"Rabadilla de Vaca mire",NA,NA,NA,3182
27225,"Wainisavulevu Creek",NA,NA,NA,927
27228,"Nadrau Swamp",NA,NA,NA,764
27229,"Lake Hordorli",NA,NA,NA,783
27237,"Cenote Kail",NA,NA,NA,1527
27238,"Lagunas Natosas Bosque",NA,NA,NA,3476
27239,"Valle Pequeño",NA,NA,NA,2808
27240,"Lake Kumpaka",NA,NA,NA,336
27246,"Cocha Caranga Mire",NA,NA,NA,2685
27250,"Laguna Portezuelo",NA,NA,NA,1716
27254,"La Calderilla",NA,NA,NA,1767
27257,"Llaviucu",NA,NA,NA,3180
27260,"Sharp Hollow",NA,NA,NA,2302
27298,"Cajanuma valley",NA,NA,NA,3221
27299,"BB01",NA,NA,NA,2487
27300,"BB02",NA,NA,NA,2487
27304,"MCA4",NA,NA,NA,2491
27312,"Cova Galinha caldera",NA,NA,NA,790
27316,"Etang Fer-de-Lance",NA,NA,NA,287
27333,"Holey Meadow",NA,NA,NA,1927
27334,"Cristol Lake",NA,NA,NA,2236
27335,"Correo",NA,NA,NA,1090
27336,"Fish Lake",NA,NA,NA,2697
27338,"Lac du Mont de Belier",NA,NA,NA,907
27340,"Trout Meadow",NA,NA,NA,1893
27342,"Le Suc",NA,NA,NA,1199
27343,"Peuil Peat Bog",NA,NA,NA,968
27344,"Plaine Alpe",NA,NA,NA,2240
27345,"Pré Rond",NA,NA,NA,1696
27354,"Sierra de Baza",NA,NA,NA,1881
27355,"Sierra de Baza",NA,NA,NA,1881
27356,"Botija bog",NA,NA,NA,748
27357,"Windy Lake",NA,NA,NA,1826
27358,"Loch nan Eala",NA,NA,NA,98
27359,"Terrace Hollow",NA,NA,NA,74
27360,"Above Cadubh",NA,NA,NA,107
27361,"Sheepfold",NA,NA,NA,96
27362,"West Achall Mire",NA,NA,NA,96
27363,"West Achall Gorge",NA,NA,NA,95
27364,"Below Doir' a'Ghleannain",NA,NA,NA,86
27365,"Sanctuary Wood",NA,NA,NA,86
27366,"Eagle Calling",NA,NA,NA,71
27367,"Loch Salach a' Ghiubhais",NA,NA,NA,289
27368,"Loch an Fheadain",NA,NA,NA,252
27370,"Adit Track",NA,NA,NA,233
27371,"Loch an Amair",NA,NA,NA,322
27372,"Above Loch an Eang",NA,NA,NA,334
27373,"T_Junction",NA,NA,NA,236
27374,"Cattle Grid",NA,NA,NA,265
27375,"Road below Beinn a’ Mheadhoin",NA,NA,NA,228
27376,"Finnart mire",NA,NA,NA,273
27377,"No Aerial",NA,NA,NA,365
27378,"Craiganour",NA,NA,NA,375
27381,"Black4a",NA,NA,NA,348
27382,"Log Canyon",NA,NA,NA,364
27386,"Bastani",NA,NA,NA,2094
27387,"Thunder Lake",NA,NA,NA,1537
27388,"La Gourre",NA,NA,NA,988
27389,"Redmountain Lake",NA,NA,NA,1586
27400,"Siles lake",NA,NA,NA,1285
27401,"Cañada de la Cruz",NA,NA,NA,1595
27406,"El Sabinar",NA,NA,NA,1123
27407,"Sierra de Gádor",NA,NA,NA,1594
27410,"Las Lanchas",NA,NA,NA,791
27411,"Praillos de Boissier mire",NA,NA,NA,1610
27412,"Verdeospesoa mire",NA,NA,NA,1007
