"siteid","sitename","lat","long","area","notes","description","elev"
288,"Serra da Boa Vista",-27.7,-49.15,NA,NA,NA,1149
289,"Bob Black Pond",34.32361,-84.86806,NA,NA,NA,286
290,"Bob Lake",46.63361,-92.61472,NA,NA,NA,379
291,"Bog A Pond",47.175376,-95.167614,NA,NA,NA,459
292,"Bog D Pond",47.1774,-95.16281,NA,NA,NA,460
293,"Bolotnyii Stream Exposure 117",42.85,132.78333,NA,NA,NA,3
294,"Bondi Section",42.08806,-82.6375,NA,NA,NA,213
295,"Boney Spring",38.11194,-93.36694,NA,NA,NA,252
296,"Boone Lake",55.575,-119.43333,NA,NA,NA,863
297,"Border Beacon",55.33333,-63.2,NA,NA,NA,466
298,"Boriack Bog",30.36,-97.12611,NA,NA,NA,164
299,"Bossuot Lake",44.295636,-93.736976,NA,NA,NA,310
300,"Lac Boucané",47.45778,-69.45278,NA,NA,NA,521
301,"Boundary Lake",55.25,-67.4,NA,NA,NA,535
302,"Boundary Pond",45.56667,-70.675,NA,NA,NA,598
303,"Brandreth Bog",43.91667,-74.68333,NA,NA,NA,600
304,"Brisay 2",54.35583,-70.35778,NA,NA,NA,535
305,"Brophy Ditch",43.22,-81.73,NA,NA,NA,183
306,"Brown Lake",45.779154,-89.4935,NA,NA,NA,488
307,"Brown's Bay, Lake Minnetonka",44.95588,-93.547946,NA,NA,NA,285
308,"Brown Lake",40.68056,-82.0625,NA,NA,NA,289
309,"Browns Pond",38.15472,-79.61639,NA,NA,NA,620
310,"Bruvatnet [Rovvejávri]",70.18035,28.403788,NA,NA,NA,110
311,"Buckbean Fen",44.29861,-110.26056,NA,NA,NA,2363
312,"Buck Lake",27.23444,-81.33222,NA,NA,NA,28
314,"Bucyrus Bog",40.79722,-82.93333,NA,NA,NA,315
316,"Bugutakh Exposure, Adycha River",67.83333,135.11667,NA,NA,NA,436
317,"Burden Lake",42.600272,-73.563624,NA,NA,NA,191
318,"Burntside Lake",47.92417,-91.99472,NA,NA,NA,418
319,"Lac à la Busque",46.27917,-70.59583,NA,NA,NA,364
320,"Byllatskoye Exposure, Byllat River, Indigirka Basin [Бассейн р. Индигирка, р. Быллат, лравый приток р. Уяндина]",69.16528,140.0625,NA,NA,NA,327
321,"Cahaba Pond",33.5,-86.53333,NA,NA,NA,209
322,"Saint-Calixte",45.96111,-73.86806,NA,NA,NA,253
323,"Cala Conto",-17.56667,-65.93333,NA,NA,NA,2699
324,"Camel Lake",30.26667,-85.01667,NA,NA,NA,15
325,"Camp 11 Lake",46.66667,-88.01667,NA,NA,NA,545
326,"Camp 12 Lake",45.985066,-89.38065,NA,NA,NA,500
327,"Campbell Lake",44.70657,-93.499024,NA,NA,NA,282
328,"Chistoye Lake Exposure",59.55,151.83333,NA,NA,NA,77
329,"Candelabra Lake",61.68333,-130.65,NA,NA,NA,944
330,"Tourbière Caribou",47.63972,-71.23583,NA,NA,NA,784
331,"Carbuncle Pond",41.7,-71.78333,NA,NA,NA,113
332,"Lac Caribou",48.19778,-64.94,NA,NA,NA,109
333,"Caribou Bog",44.93672,-68.77344,NA,NA,NA,36
334,"Caribou Hill",55.66667,-63.25,NA,NA,NA,500
335,"Selle di Carnino",44.15,7.69444,NA,NA,NA,1975
336,"Carp Lake",45.91806,-120.88056,NA,NA,NA,755
337,"Carter Site",40.21667,-84.68056,NA,NA,NA,304
338,"Lac Castor",46.61389,-72.99861,NA,NA,NA,336
339,"Cascade Fen [Engineer Mountain Bog]",37.647212,-107.808976,NA,NA,NA,2693
340,"Lago Catemaco",18.66667,-95,NA,NA,NA,-212
342,"Caunahue",-40,-72,NA,NA,NA,1280
343,"Cayambe",-0.03333,-78.03333,NA,NA,NA,3807
344,"Cedar Bog",45.41111,-93.19722,NA,NA,NA,276
346,"Chabada Lake",61.974448,129.374442,NA,NA,NA,194
347,"Chacaltaya 1",-16.36667,-68.15,NA,NA,NA,4746
348,"Chacaltaya 2",-16.36667,-68.15,NA,NA,NA,4746
349,"Chalco Lake",19.5,-99,NA,NA,NA,2235
350,"Bol'shaya Kuobakh-Baga River, Channel Site",65,142,NA,NA,NA,1311
351,"Chany Lake",54.75,77.25,NA,NA,NA,98
353,"Chase Pond",45.65139,-60.675,NA,NA,NA,6
354,"Chepu",-42,-73.96667,NA,NA,NA,130
355,"Chernikhovo",53.41667,26.43333,NA,NA,NA,178
356,"Chernyii Yar Exposure 955",43.18333,134.43333,NA,NA,NA,79
357,"Chesnok Peat, Irtysh River",60,66.5,NA,NA,NA,56
358,"Cheyenne Bottoms",38.46667,-98.66667,NA,NA,NA,546
360,"Chippewa Bog",43.12389,-83.24111,NA,NA,NA,280
361,"Chism 1",54.79944,-76.14556,NA,NA,NA,345
362,"Chism 2",53.09083,-76.33917,NA,NA,NA,262
363,"Le Marais St Boetien",49.61667,3.81667,NA,NA,NA,61
364,"Chatsworth Bog",40.67552,-88.325062,NA,NA,NA,220
365,"Chubukulakhskoye Exposure",69.26667,138.62361,NA,NA,NA,410
366,"Chulym Exposure",57.75,84,NA,NA,NA,65
370,"Lac Ciel Blanc",59.51667,-122.16667,NA,NA,NA,646
371,"Cindy Pond",47.172042,-94.939444,NA,NA,NA,478
459,"Wentworth Lake",48.009322,-124.53148,NA,NA,NA,47
477,"Isla Clarence",-54.2,-71.23333,NA,NA,NA,24
478,"Clear Lake",43.121856,-93.439296,NA,NA,NA,373
479,"Clear Lake",41.63794,-86.545192,NA,NA,NA,226
480,"Clear Pond",33.798804,-78.95349,NA,NA,NA,12
481,"Clearwater Lake",50.87361,-107.93333,NA,NA,NA,657
482,"Clear Pond",43.748274,-74.017678,NA,NA,NA,513
483,"Cerro Calvario",-16.25,-68.5,NA,NA,NA,4282
484,"Coghill Lake",53.9,-66.76667,NA,NA,NA,541
485,"Colo Marsh",42.02,-93.27,NA,NA,NA,329
486,"Columbine Ranch Fen",37.604472,-107.816772,NA,NA,NA,2703
488,"Comb Lake",49.69,-57.71,NA,NA,NA,686
489,"Compass Pond",50.03417,-56.19639,NA,NA,NA,277
490,"Conklin Quarry",41.69444,-91.56389,NA,NA,NA,214
491,"Conroy Lake",46.28932,-67.87597,NA,NA,NA,138
494,"Copley Lake",38.871908,-107.08357,NA,NA,NA,3251
495,"Coppermine Saddleback",67.83333,-115.31667,NA,NA,NA,20
496,"Lac Côté",48.96694,-65.95,NA,NA,NA,983
497,"Cotapampa",-15.21667,-69.1,NA,NA,NA,4484
498,"Tourbière de Lanoraie COTEAU JAUNE",45.96083,-73.34194,NA,NA,NA,15
499,"Cottonwood Slough",52.86667,-118.1,NA,NA,NA,1042
500,"Cottonwood Lake (Su)",44.833484,-99.91166,NA,NA,NA,549
501,"Cottonwood Pass Pond",38.828692,-106.410914,NA,NA,NA,3671
502,"Cottonwood Lake",45.759976,-96.021474,NA,NA,NA,337
503,"Cranberry Lake",44.1,-78.1,NA,NA,NA,309
504,"Crane Lake",36.529734,-112.149064,NA,NA,NA,2605
505,"Cranberry Glades",38.2,-80.28333,NA,NA,NA,1204
